batch,line,shift,throughput,defect_rate,yield
1,Line B,Night,146.3,0.49,98.49
2,Line C,Day,96.3,2.09,93.94
3,Line A,Night,192.9,1.88,94.78
4,Line B,Day,131.2,1.47,95.21
5,Line C,Night,136.5,2.77,92.13
6,Line A,Day,191.8,0.93,96.26
7,Line B,Night,155.8,1.28,95.62
8,Line C,Day,95.5,1.62,94.93
9,Line A,Night,143.2,0.87,96.56
10,Line B,Day,182.9,1.99,93.74
11,Line C,Night,99.4,2.06,94.37
12,Line A,Day,163.7,0.21,99.39
13,Line B,Night,151.9,1.39,96.01
14,Line C,Day,102.1,3.08,91.58
15,Line A,Night,190.4,0.49,98.24
16,Line B,Day,152.2,2.57,92.36
17,Line C,Night,98.8,2.38,93.7
18,Line A,Day,157.6,0.81,97.72
19,Line B,Night,170.2,0.94,96.49
20,Line C,Day,85.3,2.31,93.92
21,Line A,Night,195.7,1.04,96.2
22,Line B,Day,160.2,0.88,96.77
23,Line C,Night,106,2.48,92.74
24,Line A,Day,160,1,96.4
25,Line B,Night,124.6,1.74,95.39
26,Line C,Day,91.7,1.97,94.76
27,Line A,Night,188.5,1.68,94.54
28,Line B,Day,147.2,1.86,94.89
29,Line C,Night,109,2.88,92.8
30,Line A,Day,187.6,0.86,97.4
31,Line B,Night,132.1,1.22,96.18
32,Line C,Day,157,3.44,91.29
33,Line A,Night,161.2,2.16,93.68
34,Line B,Day,162.6,2.29,93.91
35,Line C,Night,126,1.68,95.87
36,Line A,Day,182.8,0.67,97.94
37,Line B,Night,204.1,1.24,95.81
38,Line C,Day,129,2.34,93.19
39,Line A,Night,153.4,1.14,96.2
40,Line B,Day,148.8,1.46,95.23
41,Line C,Night,93.7,3.13,91.53
42,Line A,Day,138.2,1.16,95.74
43,Line B,Night,158.9,2.49,92.76
44,Line C,Day,139.8,2.42,94.18
45,Line A,Night,164.5,1.74,94.5
46,Line B,Day,163.7,1.55,95.41
47,Line C,Night,113.7,2.78,92.5
48,Line A,Day,151,1.24,95.94
49,Line B,Night,167.8,2.04,94.47
50,Line C,Day,106.9,2.53,93.44
51,Line A,Night,185.6,1.53,95.08
52,Line B,Day,145.3,2.74,92.1
53,Line C,Night,66.4,2.28,94.06
54,Line A,Day,162.5,1.77,94.93
55,Line B,Night,169.6,1.55,95.01
56,Line C,Day,122.1,2.34,93.11
