month,region,segment,revenue,units
2024-07,North,Enterprise,260.6,1122
2024-07,North,Mid-market,117.11,573
2024-07,North,SMB,81.89,375
2024-07,South,Enterprise,182.82,1003
2024-07,South,Mid-market,106.7,532
2024-07,South,SMB,49.51,255
2024-07,East,Enterprise,144.42,687
2024-07,East,Mid-market,78.1,388
2024-07,East,SMB,40.06,170
2024-07,West,Enterprise,188.38,880
2024-07,West,Mid-market,126.63,602
2024-07,West,SMB,79.35,389
2024-08,North,Enterprise,269.56,1342
2024-08,North,Mid-market,138.86,664
2024-08,North,SMB,76.33,317
2024-08,South,Enterprise,174.68,790
2024-08,South,Mid-market,84.46,453
2024-08,South,SMB,55.52,292
2024-08,East,Enterprise,159.75,712
2024-08,East,Mid-market,89.06,452
2024-08,East,SMB,45.03,200
2024-08,West,Enterprise,209.3,952
2024-08,West,Mid-market,126.28,542
2024-08,West,SMB,64.55,311
2024-09,North,Enterprise,251.95,1074
2024-09,North,Mid-market,148.41,767
2024-09,North,SMB,75.2,353
2024-09,South,Enterprise,200.61,1001
2024-09,South,Mid-market,110.78,474
2024-09,South,SMB,61.89,301
2024-09,East,Enterprise,143.16,696
2024-09,East,Mid-market,91.22,377
2024-09,East,SMB,54.3,262
2024-09,West,Enterprise,211.79,1028
2024-09,West,Mid-market,134.18,734
2024-09,West,SMB,67.44,324
2024-10,North,Enterprise,278.59,1406
2024-10,North,Mid-market,173.21,939
2024-10,North,SMB,89.84,405
2024-10,South,Enterprise,194.75,946
2024-10,South,Mid-market,124.89,519
2024-10,South,SMB,57.65,255
2024-10,East,Enterprise,154.32,820
2024-10,East,Mid-market,92.51,432
2024-10,East,SMB,51.85,235
2024-10,West,Enterprise,243.06,1231
2024-10,West,Mid-market,144.86,629
2024-10,West,SMB,64.92,337
2024-11,North,Enterprise,262.86,1435
2024-11,North,Mid-market,173.04,817
2024-11,North,SMB,85.56,432
2024-11,South,Enterprise,168.73,883
2024-11,South,Mid-market,107.92,564
2024-11,South,SMB,61.69,287
2024-11,East,Enterprise,172.89,869
2024-11,East,Mid-market,108.69,557
2024-11,East,SMB,52.62,254
2024-11,West,Enterprise,230.38,1079
2024-11,West,Mid-market,145.27,645
2024-11,West,SMB,80.05,339
2024-12,North,Enterprise,294.13,1401
2024-12,North,Mid-market,164.57,760
2024-12,North,SMB,77.99,357
2024-12,South,Enterprise,207.58,912
2024-12,South,Mid-market,115.35,543
2024-12,South,SMB,67.68,338
2024-12,East,Enterprise,164.49,821
2024-12,East,Mid-market,93.09,462
2024-12,East,SMB,57.43,284
2024-12,West,Enterprise,234.91,1072
2024-12,West,Mid-market,132.47,809
2024-12,West,SMB,76.61,334
2025-01,North,Enterprise,246.68,984
2025-01,North,Mid-market,149.56,746
2025-01,North,SMB,78.44,390
2025-01,South,Enterprise,183.24,814
2025-01,South,Mid-market,104.57,490
2025-01,South,SMB,50.93,236
2025-01,East,Enterprise,157.19,690
2025-01,East,Mid-market,98.07,489
2025-01,East,SMB,52.17,216
2025-01,West,Enterprise,203.98,1045
2025-01,West,Mid-market,122.6,523
2025-01,West,SMB,66.9,317
2025-02,North,Enterprise,211.69,1065
2025-02,North,Mid-market,139.65,674
2025-02,North,SMB,68.42,300
2025-02,South,Enterprise,191.31,861
2025-02,South,Mid-market,95.15,443
2025-02,South,SMB,57.77,261
2025-02,East,Enterprise,156.43,933
2025-02,East,Mid-market,87.4,478
2025-02,East,SMB,47.26,239
2025-02,West,Enterprise,175.6,860
2025-02,West,Mid-market,132.06,686
2025-02,West,SMB,68.48,312
2025-03,North,Enterprise,210.24,973
2025-03,North,Mid-market,118.27,613
2025-03,North,SMB,67.27,323
2025-03,South,Enterprise,154.53,769
2025-03,South,Mid-market,94.01,448
2025-03,South,SMB,53.04,242
2025-03,East,Enterprise,136.94,658
2025-03,East,Mid-market,85.73,406
2025-03,East,SMB,42.91,219
2025-03,West,Enterprise,197.16,1046
2025-03,West,Mid-market,126.78,566
2025-03,West,SMB,66.33,342
2025-04,North,Enterprise,217.7,1066
2025-04,North,Mid-market,141.3,712
2025-04,North,SMB,67.83,276
2025-04,South,Enterprise,170.3,783
2025-04,South,Mid-market,75.2,303
2025-04,South,SMB,58.5,282
2025-04,East,Enterprise,140.09,652
2025-04,East,Mid-market,77.66,338
2025-04,East,SMB,46.02,224
2025-04,West,Enterprise,170.47,835
2025-04,West,Mid-market,126.17,656
2025-04,West,SMB,65.82,313
2025-05,North,Enterprise,236.82,1024
2025-05,North,Mid-market,139.05,677
2025-05,North,SMB,67.17,315
2025-05,South,Enterprise,163.21,820
2025-05,South,Mid-market,101.11,488
2025-05,South,SMB,51.63,228
2025-05,East,Enterprise,155.66,762
2025-05,East,Mid-market,85.17,419
2025-05,East,SMB,45.28,207
2025-05,West,Enterprise,215.88,970
2025-05,West,Mid-market,130.76,611
2025-05,West,SMB,66.98,296
2025-06,North,Enterprise,212.23,990
2025-06,North,Mid-market,144.45,668
2025-06,North,SMB,86.51,490
2025-06,South,Enterprise,188.13,820
2025-06,South,Mid-market,107.12,503
2025-06,South,SMB,53.04,213
2025-06,East,Enterprise,164.28,744
2025-06,East,Mid-market,103.4,467
2025-06,East,SMB,58.32,232
2025-06,West,Enterprise,198.74,1150
2025-06,West,Mid-market,116.03,509
2025-06,West,SMB,70,370
