timestamp,requests,latency_p50,latency_p95,error_rate
2025-05-05T00:00:00.000Z,998,39.9,121.1,0.77
2025-05-05T00:30:00.000Z,835,37.4,114.2,0.54
2025-05-05T01:00:00.000Z,1147,37.1,112.3,0.51
2025-05-05T01:30:00.000Z,1126,35.5,111.4,0.56
2025-05-05T02:00:00.000Z,1007,36.4,112.4,0.11
2025-05-05T02:30:00.000Z,1121,35.9,108.4,0.91
2025-05-05T03:00:00.000Z,1196,36.4,103.1,0.69
2025-05-05T03:30:00.000Z,1105,36.2,102.3,0.69
2025-05-05T04:00:00.000Z,1429,37.4,107.3,0.59
2025-05-05T04:30:00.000Z,1686,39,113.1,0.42
2025-05-05T05:00:00.000Z,1504,40.1,116.9,0.44
2025-05-05T05:30:00.000Z,1600,41.9,122.7,0.76
2025-05-05T06:00:00.000Z,1554,43.5,125.7,0.39
2025-05-05T06:30:00.000Z,1810,45.6,128.3,0.65
2025-05-05T07:00:00.000Z,1740,47.5,132.8,0.65
2025-05-05T07:30:00.000Z,1678,49.2,145.1,0.36
2025-05-05T08:00:00.000Z,1884,51.3,152.8,0.98
2025-05-05T08:30:00.000Z,1971,51.3,157.4,0.78
2025-05-05T09:00:00.000Z,1999,53.4,166.3,0.44
2025-05-05T09:30:00.000Z,2063,53.3,173.1,0.51
2025-05-05T10:00:00.000Z,1913,54.8,174.5,0.64
2025-05-05T10:30:00.000Z,2105,56.3,176.4,1
2025-05-05T11:00:00.000Z,1824,55.3,173.6,0.88
2025-05-05T11:30:00.000Z,1746,57.8,180.9,0.58
2025-05-05T12:00:00.000Z,2039,58.1,177.7,0.25
2025-05-05T12:30:00.000Z,1958,58.5,173.4,0.8
2025-05-05T13:00:00.000Z,1892,58.2,173.7,0.72
2025-05-05T13:30:00.000Z,1887,57.7,166.6,0.31
2025-05-05T14:00:00.000Z,1641,57.3,166.4,1
2025-05-05T14:30:00.000Z,1650,57.7,162.1,1
2025-05-05T15:00:00.000Z,1489,55.5,162.6,0.89
2025-05-05T15:30:00.000Z,1610,54.5,162.3,0.53
2025-05-05T16:00:00.000Z,1323,52.5,155.9,0.41
2025-05-05T16:30:00.000Z,1393,51,151,0.34
2025-05-05T17:00:00.000Z,1307,49.2,144.7,0.5
2025-05-05T17:30:00.000Z,1087,46.3,139.7,0.66
2025-05-05T18:00:00.000Z,990,45.6,134.8,0.78
2025-05-05T18:30:00.000Z,1213,43.6,129.6,0.58
2025-05-05T19:00:00.000Z,1258,41.7,124.7,0.51
2025-05-05T19:30:00.000Z,1233,39.8,120.9,0.87
2025-05-05T20:00:00.000Z,666,37.6,114.3,0.57
